"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3387","verify invalid login","Google Chrome","Fri Jan 09 22:03:45 UTC 2026","passed","Fri Jan 09 22:03:49 UTC 2026","","loginpage.spec.ts","",""
"","3564","validate login,@login","Google Chrome","Fri Jan 09 22:03:45 UTC 2026","passed","Fri Jan 09 22:03:49 UTC 2026","","loginpage.spec.ts","",""
